IP地址,端口,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文)
101.132.172.172,10443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
43.218.77.16,1443,TRUE,CGK,ID,Asia Pacific,Jakarta,亚洲,印度尼西亚,雅加达
45.136.253.18,33273,TRUE,SIN,TH,Asia Pacific,Singapore,亚洲,新加坡,新加坡
47.236.71.60,28443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
45.144.167.223,27125,TRUE,SIN,TH,Asia Pacific,Singapore,亚洲,新加坡,新加坡
8.219.88.178,51898,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
47.130.116.139,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
8.219.198.241,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
103.117.151.111,2053,TRUE,SIN,TH,Asia Pacific,Singapore,亚洲,新加坡,新加坡
140.245.51.172,52295,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
84.247.150.2,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
160.22.79.166,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
168.110.48.180,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
47.236.180.90,8443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
45.91.134.225,5060,TRUE,SIN,TH,Asia Pacific,Singapore,亚洲,新加坡,新加坡
84.247.146.234,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
152.67.194.140,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
84.247.149.239,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
159.223.68.162,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
82.23.177.174,13825,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
146.190.192.201,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
212.80.215.251,10409,TRUE,SIN,TH,Asia Pacific,Singapore,亚洲,新加坡,新加坡
212.80.213.140,31557,TRUE,SIN,TH,Asia Pacific,Singapore,亚洲,新加坡,新加坡
103.99.11.193,2053,TRUE,SIN,TH,Asia Pacific,Singapore,亚洲,新加坡,新加坡
84.247.146.233,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
152.69.228.177,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
94.74.83.173,45069,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
103.195.188.66,22222,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
209.97.172.130,8080,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
103.99.11.193,8443,TRUE,SIN,TH,Asia Pacific,Singapore,亚洲,新加坡,新加坡
129.154.200.133,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
130.162.133.149,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
146.56.185.174,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
178.239.123.216,24443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
172.86.83.44,42935,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
64.235.61.162,7000,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
38.244.147.68,2053,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
129.150.50.144,42956,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
138.2.111.60,60007,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
61.245.11.69,2053,TRUE,SIN,PH,Asia Pacific,Singapore,亚洲,新加坡,新加坡
138.2.71.48,48397,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
188.166.182.46,8888,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡
