📺央视频道,#genre#
CCTV-1,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8
CCTV-1,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv
CCTV-1,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-1
CCTV-1,webview://https://m.miguvideo.com/m/liveDetail/608807420?channelId=10010001005
CCTV-1,webview://https://tv.CCTV-.com/live/CCTV-1/
CCTV-1,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-1/
CCTV-1,webview://https://yangshipin.cn/tv/home?pid=600001859
CCTV-1,webview://https://m-live.CCTV-news.CCTV-.com/live/landscape.html?liveRoomNumber=11200132825562653886
CCTV-1,webview://https://www.yangshipin.cn/tv/home?pid=600001859
CCTV-1,webview://https://tv.CCTV-.com/live/CCTV-1/index.shtml
CCTV-1,webview://https://live-auth.51kandianshi.com/szgd/CCTV-1.m3u8
CCTV-2,http://218.17.33.178:53290/tsfile/live/1002_1.m3u8?key=txiptv
CCTV-2,webview://https://m-live.CCTV-news.CCTV-.com/live/landscape.html?liveRoomNumber=12030532124776958103
CCTV-2,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-2
CCTV-2,webview://https://m.miguvideo.com/m/liveDetail/631780532?channelId=10010001005
CCTV-2,webview://https://vod.CCTV-.cn/CCTV-/CCTV-h5/CCTV-2/2023/05/CCTV-2_share/index.html
CCTV-2,webview://https://tv.CCTV-.com/live/CCTV-2/
CCTV-2,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-2/
CCTV-2,webview://https://www.yangshipin.cn/tv/home?pid=600001800
CCTV-3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV-3,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV-3,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-3
CCTV-3,webview://https://tv.CCTV-.com/live/CCTV-3/m/
CCTV-3,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-3/
CCTV-3,webview://https://yangshipin.cn/tv/home?pid=600001801
CCTV-4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV-4,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-4
CCTV-4,webview://https://m.miguvideo.com/m/liveDetail/631780421?channelId=10010001005
CCTV-4,webview://https://tv.CCTV-.com/live/CCTV-4/m/
CCTV-4,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-4/
CCTV-4,webview://https://www.yangshipin.cn/tv/home?pid=600001814
CCTV-5,http://1.180.2.93:9901/tsfile/live/1027_1.m3u8
CCTV-5,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-5
CCTV-5,webview://https://tv.CCTV-.com/live/CCTV-5/
CCTV-5,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-5/
CCTV-5,webview://https://yangshipin.cn/tv/home?pid=600001818
CCTV-5+,http://61.140.126.120:10000/udp/239.77.0.87:5146
CCTV-5+,http://61.140.124.160:10000/udp/239.77.0.87:5146
CCTV-5+,webview://https://tv.CCTV-.com/live/CCTV-5plus/
CCTV-5+,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-5plus
CCTV-5+,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-5plus/
CCTV-6,http://112.27.235.94:8000/hls/7/index.m3u8
CCTV-6,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-6
CCTV-6,webview://https://m.1905.com/m/CCTV-6/gzh/
CCTV-6,webview://https://tv.CCTV-.com/live/CCTV-6/
CCTV-6,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-6/
CCTV-6,webview://https://yangshipin.cn/tv/home?pid=600108442
CCTV-7,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-7
CCTV-7,webview://https://m.miguvideo.com/m/liveDetail/673168121?channelId=10010001005
CCTV-7,webview://https://tv.CCTV-.com/live/CCTV-7/m/
CCTV-7,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-7/
CCTV-7,webview://https://www.yangshipin.cn/tv/home?pid=600004092
CCTV-8,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-8
CCTV-8,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-8/
CCTV-8,webview://https://yangshipin.cn/tv/home?pid=600001803
CCTV-9,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-9
CCTV-9,webview://https://tv.CCTV-.com/live/CCTV-jilu/m/
CCTV-9,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-jilu/
CCTV-9,webview://https://www.yangshipin.cn/tv/home?pid=600004078
CCTV-10,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-10
CCTV-10,webview://https://tv.CCTV-.com/live/CCTV-10/
CCTV-10,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-10/
CCTV-10,webview://https://www.yangshipin.cn/tv/home?pid=600001805
CCTV-11,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=8
CCTV-11,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-11
CCTV-11,webview://https://tv.CCTV-.com/live/CCTV-11/
CCTV-11,webview://https://www.yangshipin.cn/tv/home?pid=600001806
CCTV-12,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-12
CCTV-12,webview://https://tv.CCTV-.com/live/CCTV-12/
CCTV-12,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-12/
CCTV-12,webview://https://www.yangshipin.cn/tv/home?pid=600001807
CCTV-13,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-13
CCTV-13,webview://https://m.miguvideo.com/m/liveDetail/608807423?channelId=10010001005
CCTV-13,webview://https://tv.CCTV-.com/live/CCTV-13/
CCTV-13,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-13/
CCTV-13,webview://https://yangshipin.cn/tv/home?pid=600001811
CCTV-14,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-14
CCTV-14,webview://https://tv.CCTV-.com/live/CCTV-child/
CCTV-14,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-child/
CCTV-14,webview://https://www.yangshipin.cn/tv/home?pid=600001809
CCTV-15,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-15
CCTV-15,webview://https://tv.CCTV-.com/live/CCTV-15/
CCTV-15,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-15/
CCTV-15,webview://https://www.yangshipin.cn/tv/home?pid=600001815
CCTV-16,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-16
CCTV-16,webview://https://tv.CCTV-.com/live/CCTV-16/
CCTV-16,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-16/
CCTV-16,webview://https://www.yangshipin.cn/tv/home?pid=600098637
CCTV-17,webview://https://app.CCTV-.com/special/m/livevod/index.html?vtype=1&channel=CCTV-17
CCTV-17,webview://https://tv.CCTV-.com/live/CCTV-17/
CCTV-17,webview://https://big5.CCTV-.com/gate/big5/tv.CCTV-.com/live/CCTV-17/
CCTV-17,webview://https://www.yangshipin.cn/tv/home?pid=600001810
CCTV-1,http://113.66.41.109:10000/udp/239.77.0.86:5146
CCTV-1,http://61.140.126.120:10000/udp/239.77.1.17:5146
CCTV-1,http://61.140.126.120:10000/udp/239.77.0.86:5146
CCTV-1,http://61.140.124.160:10000/udp/239.77.0.86:5146
CCTV-1,http://61.140.126.120:10000/udp/239.77.1.144:5146
CCTV-1,http://61.140.124.160:10000/udp/239.77.1.17:5146
CCTV-1,http://61.140.124.160:10000/udp/239.77.1.144:5146
CCTV-1,http://113.66.41.109:10000/udp/239.77.1.144:5146
CCTV-1,http://113.66.41.109:10000/udp/239.77.1.17:5146
CCTV-1,https://cc06.tv12.xyz/1.m3u8
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://112.99.193.34:9901/tsfile/live/1017_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV-1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
CCTV-1,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8
CCTV-1,http://lt.hxtre.com:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-1,http://[2409:8087:74f0:22::4]:6610/270000001128/9900000501/index.m3u8
CCTV-1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8
CCTV-1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8
CCTV-2,http://61.140.124.160:10000/udp/239.77.0.137:5146
CCTV-2,http://61.140.126.120:10000/udp/239.77.0.137:5146
CCTV-2,http://113.66.41.109:10000/udp/239.77.1.158:5146
CCTV-2,http://113.66.41.109:10000/udp/239.77.0.137:5146
CCTV-2,http://61.140.124.160:10000/udp/239.77.1.158:5146
CCTV-2,http://61.140.126.120:10000/udp/239.77.1.158:5146
CCTV-2,https://cc06.tv12.xyz/2.m3u8
CCTV-2,https://ldoCCTV-wbcdtxy.liveplay.myqcloud.com/ldoCCTV-wbcd/cdrmldCCTV-2_1_ud.m3u8
CCTV-2,http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8
CCTV-2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8
CCTV-2,http://1b6467f415.iok.la:9931/tsfile/live/1021_1.m3u8
CCTV-2,http://lt.hxtre.com:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8
CCTV-2,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000502/index.m3u8
CCTV-2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8
CCTV-2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8
CCTV-3,http://61.140.126.120:10000/udp/239.77.0.175:5146
CCTV-3,http://113.66.41.109:10000/udp/239.77.0.175:5146
CCTV-3,http://61.140.124.160:10000/udp/239.77.0.175:5146
CCTV-3,http://61.140.124.160:10000/udp/239.77.0.169:5146
CCTV-3,http://61.140.126.120:10000/udp/239.77.0.169:5146
CCTV-3,http://113.66.41.109:10000/udp/239.77.0.169:5146
CCTV-3,https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=CCTV-3&ChannelID=CCTV-3&videoTVChannel=CCTV-3&P2PChannelID=pd://CCTV-_p2p_CCTV-3
CCTV-3,https://ldoCCTV-wbcdtxy.liveplay.myqcloud.com/ldoCCTV-wbcd/cdrmldCCTV-3_1/index.m3u8?b=200-1200
CCTV-3,https://cc06.tv12.xyz/3.m3u8
CCTV-3,http://183.237.95.108:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8
CCTV-3,http://1b6467f415.iok.la:9931/tsfile/live/1022_1.m3u8
CCTV-3,http://gmxw.7766.org:808/hls/91/index.m3u8
CCTV-3,http://ak6668768.zicp.io:8802/live1003.m3u8
CCTV-3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8
CCTV-3,http://lt.hxtre.com:35455/gaoma/CCTV-3.m3u8
